cam local cloud overall
0.37 0.92 0.98 0.99
0.37 0.94 0.98 0.99
0.46 0.97 0.98 0.99
0.52 0.95 0.97 0.99
0.60 0.96 0.96 0.96
0.73 0.94 0.95 0.98
